,inner_x,inner_y,outer_x,outer_y
0,0.9829551795267051,-5.918935640386845,-0.9829551795267051,5.918935640386845
1,-0.003534093871102262,-6.082761503641296,-1.9694444529245128,5.755109777132394
2,-0.99002336726891,-6.246587366895746,-2.9559337263223195,5.591283913877943
3,-1.976512640666717,-6.410413230150197,-3.942422999720127,5.427458050623492
4,-2.9630019140645243,-6.574239093404649,-4.928912273117934,5.2636321873690415
5,-3.949491187462332,-6.738064956659099,-5.915401546515742,5.099806324114591
6,-4.935980460860139,-6.901890819913549,-6.901890819913549,4.935980460860139
7,-5.922469734257946,-7.0657166831680005,-7.888380093311357,4.772154597605688
8,-6.908959007655754,-7.229542546422451,-8.874869366709163,4.608328734351238
9,-7.895448281053561,-7.393368409676903,-9.861358640106971,4.4445028710967875
10,-8.881937554451369,-7.557194272931353,-10.84784791350478,4.280677007842337
11,-9.868426827849177,-7.721020136185805,-11.834337186902587,4.116851144587885
12,-10.854916101246985,-7.884845999440255,-12.820826460300395,3.953025281333435
13,-11.841405374644792,-8.048671862694707,-13.807315733698205,3.789199418078984
14,-12.827894648042603,-8.212497725949158,-14.79380500709601,3.6253735548245327
15,-13.81438392144041,-8.376323589203608,-15.78029428049382,3.4615476915700825
16,-14.800873194838216,-8.54014945245806,-16.766783553891628,3.297721828315631
17,-15.787362468236024,-8.703975315712508,-17.753272827289436,3.1338959650611793
18,-16.77385174163383,-8.86780117896696,-18.73976210068724,2.970070101806729
19,-17.760341015031646,-9.031627042221412,-19.72625137408505,2.806244238552279
20,-18.74683028842945,-9.195452905475863,-20.71274064748286,2.642418375297827
21,-19.73331956182726,-9.359278768730313,-21.69922992088067,2.4785925120433765
22,-20.719808835225066,-9.523104631984765,-22.685719194278477,2.314766648788926
23,-21.706298108622875,-9.686930495239217,-23.672208467676285,2.150940785534474
24,-22.692787382020683,-9.850756358493667,-24.658697741074093,1.9871149222800235
25,-23.679276655418487,-10.014582221748116,-25.645187014471905,1.823289059025571
26,-24.6657659288163,-10.17840808500257,-26.63167628786971,1.65946319577112
27,-25.652255202214103,-10.342233948257018,-27.618165561267514,1.4956373325166714
28,-26.638744475611915,-10.50605981151147,-28.604654834665325,1.3318114692622176
29,-27.625233749009727,-10.669885674765922,-29.59114410806313,1.1679856060077682
30,-28.61172302240753,-10.83371153802037,-30.57763338146094,1.0041597427533189
31,-29.598212295805336,-10.997537401274823,-31.564122654858753,0.8403338794988651
32,-30.584701569203148,-11.161363264529275,-32.55061192825656,0.6765080162444157
33,-31.571190842600956,-11.325189127783727,-33.537101201654366,0.5126821529899646
34,-32.557680115998764,-11.489014991038177,-34.523590475052174,0.3488562897355134
35,-33.54416938939658,-11.652840854292627,-35.510079748449975,0.18503042648106227
36,-34.53065866279438,-11.816666717547076,-36.49656902184779,0.02120456322661113
37,-35.51714793619218,-11.98049258080153,-37.48305829524559,-0.14262130002783913
38,-36.50363720959,-12.14431844405598,-38.4695475686434,-0.3064471632822894
39,-37.490126482987804,-12.308144307310432,-39.456036842041215,-0.4702730265367405
40,-38.47661575638561,-12.471970170564882,-40.44252611543902,-0.6340988897911917
41,-39.46310502978342,-12.635796033819332,-41.42901538883683,-0.7979247530456419
42,-40.44959430318123,-12.79962189707378,-42.41550466223464,-0.9617506163000948
43,-41.43608357657904,-12.963447760328236,-43.40199393563245,-1.125576479554545
44,-42.422572849976845,-13.127273623582685,-44.388483209030255,-1.2894023428089953
45,-43.409062123374646,-13.291099486837135,-45.37497248242807,-1.4532282060634483
46,-44.395551396772454,-13.454925350091589,-46.361461755825864,-1.6170540693178976
47,-45.38204067017028,-13.618751213346037,-47.34795102922367,-1.780879932572348
48,-46.36852994356808,-13.782577076600488,-48.33444030262149,-1.9447057958268008
49,-47.355019216965886,-13.946402939854941,-49.320929576019296,-2.108531659081251
50,-48.3415084903637,-14.110228803109392,-50.3074188494171,-2.2723575223357013
51,-49.327997763761495,-14.27405466636384,-51.29390812281492,-2.4361833855901533
52,-50.31448703715931,-14.437880529618296,-52.28039739621272,-2.6000092488446054
53,-51.300976310557125,-14.601706392872746,-53.26688666961052,-2.763835112099053
54,-52.287465583954926,-14.765532256127194,-54.253375943008336,-2.927660975353504
55,-53.27395485735273,-14.929358119381645,-55.23986521640615,-3.091486838607958
56,-54.26044413075054,-15.093183982636099,-56.22635448980395,-3.255312701862408
57,-55.24693340414836,-15.257009845890549,-57.212843763201754,-3.4191385651168584
58,-56.23342267754616,-15.420835709144999,-58.19933303659957,-3.5829644283713087
59,-57.219911950943974,-15.584661572399451,-59.18582230999737,-3.7467902916257607
60,-58.20640122434178,-15.7484874356539,-60.17231158339518,-3.910616154880209
61,-59.192890497739576,-15.91231329890835,-61.158800856793,-4.074442018134663
62,-60.179379771137384,-16.076139162162804,-62.14529013019081,-4.238267881389115
63,-61.1658690445352,-16.239965025417256,-63.13177940358861,-4.402093744643565
64,-62.152358317933015,-16.403790888671708,-64.11826867698642,-4.5659196078980155
65,-63.138847591330816,-16.567616751926153,-65.10475795038421,-4.729745471152464
66,-64.12533686472862,-16.731442615180605,-66.09124722378202,-4.893571334406914
67,-65.11182613812642,-16.895268478435053,-67.07773649717984,-5.057397197661366
68,-66.09831541152423,-17.05909434168951,-68.06422577057765,-5.221223060915818
69,-67.08480468492203,-17.222920204943957,-69.05071504397546,-5.385048924170267
70,-68.07129395831984,-17.386746068198413,-70.03720431737327,-5.548874787424721
71,-69.05778323171766,-17.550571931452858,-71.02369359077106,-5.712700650679169
72,-70.04427250511546,-17.71439779470731,-72.01018286416888,-5.876526513933623
73,-71.03076177851327,-17.87822365796176,-72.99667213756669,-6.040352377188073
74,-72.01725105191107,-18.042049521216214,-73.9831614109645,-6.204178240442523
75,-73.0037403253089,-18.205875384470666,-74.96965068436229,-6.3680041036969754
76,-73.9902295987067,-18.369701247725114,-75.9561399577601,-6.531829966951424
77,-74.9767188721045,-18.533527110979566,-76.94262923115792,-6.695655830205876
78,-75.9632081455023,-18.697352974234015,-77.92911850455573,-6.859481693460326
79,-76.94969741890013,-18.861178837488467,-78.91560777795353,-7.023307556714778
80,-77.93618669229792,-19.02500470074292,-79.90209705135135,-7.187133419969227
81,-78.92267596569573,-19.18883056399737,-80.88858632474916,-7.3509592832236805
82,-79.90916523909355,-19.35265642725182,-81.87507559814695,-7.514785146478129
83,-80.89565451249135,-19.51648229050627,-82.86156487154477,-7.678611009732581
84,-81.88214378588916,-19.68030815376072,-83.84805414494258,-7.842436872987031
85,-82.86863305928696,-19.844134017015172,-84.83454341834039,-8.006262736241485
86,-83.85512233268477,-20.007959880269624,-85.82103269173817,-8.170088599495935
87,-84.8416116060826,-20.171785743524076,-86.80752196513599,-8.333914462750384
88,-85.82810087948039,-20.335611606778528,-87.79401123853381,-8.497740326004838
89,-86.81459015287821,-20.499437470032976,-88.7805005119316,-8.661566189259286
90,-87.801079426276,-20.663263333287425,-89.76698978532943,-8.82539205251374
91,-88.78756869967381,-20.827089196541877,-90.75347905872724,-8.989217915768192
92,-89.77405797307163,-20.990915059796333,-91.73996833212503,-9.153043779022642
93,-90.76054724646944,-21.15474092305078,-92.72645760552284,-9.316869642277087
94,-91.74703651986724,-21.31856678630523,-93.71294687892066,-9.480695505531543
95,-92.73352579326504,-21.48239264955968,-94.69943615231847,-9.644521368785995
96,-93.72001506666285,-21.646218512814137,-95.68592542571628,-9.808347232040445
97,-94.70650434006066,-21.810044376068586,-96.67241469911409,-9.972173095294895
98,-95.69299361345848,-21.973870239323038,-97.65890397251188,-10.135998958549347
99,-96.67948288685629,-22.137696102577486,-98.64539324590969,-10.299824821803796
100,-97.66597216025409,-22.301521965831938,-99.63188251930751,-10.46365068505825
101,-98.6524614336519,-22.46534782908639,-100.61837179270532,-10.627476548312702
102,-99.63895070704972,-22.629173692340842,-101.60486106610311,-10.791302411567152
103,-100.62543998044752,-22.79299955559529,-102.59135033950092,-10.9551282748216
104,-101.61192925384533,-22.956825418849743,-103.57783961289873,-11.118954138076052
105,-102.59841852724315,-23.12065128210419,-104.56432888629652,-11.2827800013305
106,-103.58490780064093,-23.284477145358636,-105.55081815969436,-11.446605864584951
107,-104.57139707403874,-23.448303008613095,-106.53730743309217,-11.610431727839407
108,-105.55788634743656,-23.612128871867544,-107.52379670648996,-11.774257591093853
109,-106.54437562083436,-23.775954735121992,-108.51028597988778,-11.938083454348307
110,-107.53086489423217,-23.939780598376444,-109.49677525328559,-12.101909317602761
111,-108.51735416762997,-24.1036064616309,-110.48326452668337,-12.26573518085721
112,-109.5038434410278,-24.26743232488535,-111.4697538000812,-12.429561044111656
113,-110.4903327144256,-24.4312581881398,-112.456243073479,-12.59338690736611
114,-111.47682198782341,-24.59508405139425,-113.44273234687681,-12.757212770620558
