,center_x,center_y,stationIdx,speed
0,0.0,0.0,0,40.0
1,-0.9864892733978076,-0.16382586325445084,1,40.43397903442383
2,-1.972978546795615,-0.3276517265089017,2,40.88162612915039
3,-2.9594678201934217,-0.4914775897633525,3,41.35436248779297
4,-4.932446366989037,-0.8191293162722542,5,41.859046936035156
5,-5.918935640386843,-0.982955179526705,6,42.399208068847656
6,-6.905424913784652,-1.1467810427811558,7,42.97537612915039
7,-7.891914187182459,-1.3106069060356067,8,43.58852767944336
8,-8.878403460580266,-1.4744327692900574,9,44.23892593383789
9,-10.851382007375882,-1.8020844957989597,11,44.922943115234375
10,-11.83787128077369,-1.9659103590534104,12,45.63667678833008
11,-12.824360554171498,-2.1297362223078613,13,46.374271392822266
12,-13.810849827569307,-2.2935620855623124,14,47.13004684448242
13,-15.783828374364926,-2.6212138120712143,16,47.90364456176758
14,-16.77031764776273,-2.785039675325665,17,48.69415283203125
15,-17.756806921160535,-2.948865538580116,18,49.50038528442383
16,-19.729785467956155,-3.2765172650890184,20,50.3210563659668
17,-20.716274741353963,-3.4403431283434687,21,51.15488052368164
18,-22.689253288149576,-3.7679948548523714,23,52.00061798095703
19,-23.675742561547388,-3.9318207181068217,24,52.857154846191406
20,-25.648721108343004,-4.2594724446157235,26,53.72356414794922
21,-26.63521038174081,-4.423298307870174,27,54.599082946777344
22,-28.60818892853643,-4.750950034379077,29,55.483089447021484
23,-29.594678201934236,-4.914775897633526,30,56.37503433227539
24,-31.567656748729853,-5.2424276241424295,32,57.274391174316406
25,-32.55414602212766,-5.406253487396881,33,58.1806755065918
26,-34.527124568923284,-5.733905213905783,35,59.093441009521484
27,-36.500103115718886,-6.061556940414683,37,60.01228713989258
28,-37.4865923891167,-6.225382803669135,38,60.936851501464844
29,-39.45957093591232,-6.553034530178037,40,61.86681365966797
30,-41.43254948270794,-6.880686256686938,42,62.801876068115234
31,-43.40552802950354,-7.20833798319584,44,63.74176788330078
32,-44.392017302901365,-7.372163846450293,45,64.68623352050781
33,-46.36499584969698,-7.699815572959192,47,65.63504028320312
34,-48.3379743964926,-8.027467299468096,49,66.58796691894531
35,-50.310952943288214,-8.355119025976997,51,67.5447998046875
36,-52.283931490083816,-8.682770752485899,53,68.50534057617188
37,-54.25691003687943,-9.010422478994801,55,69.46940612792969
38,-56.22988858367506,-9.338074205503704,57,70.43681335449219
39,-58.20286713047068,-9.665725932012606,59,71.40739440917969
40,-60.175845677266295,-9.993377658521506,61,72.3809814453125
41,-62.1488242240619,-10.32102938503041,63,73.35740661621094
42,-64.1218027708575,-10.648681111539311,65,74.33651733398438
43,-66.09478131765313,-10.97633283804821,67,75.31814575195312
44,-68.06775986444875,-11.303984564557114,69,76.3021469116211
45,-70.04073841124436,-11.631636291066014,71,77.2883529663086
46,-72.01371695803998,-11.959288017574918,73,78.27661895751953
47,-73.9866955048356,-12.286939744083819,75,79.26678466796875
48,-75.9596740516312,-12.614591470592721,77,80.2586898803711
49,-78.91914187182464,-13.106069060356074,80,81.25216674804688
50,-80.89212041862025,-13.433720786864974,82,82.24706268310547
51,-82.86509896541588,-13.761372513373876,84,83.24320220947266
52,-85.82456678560929,-14.252850103137225,87,84.24041748046875
53,-87.7975453324049,-14.580501829646131,89,85.238525390625
54,-89.77052387920051,-14.908153556155035,91,86.23735809326172
55,-92.72999169939396,-15.399631145918384,94,87.23672485351562
56,-94.70297024618955,-15.72728287242729,96,88.23643493652344
57,-97.662438066383,-16.21876046219064,99,89.23629760742188
58,-99.63541661317859,-16.546412188699545,101,90.23577880859375
59,-102.59488443337204,-17.037889778462898,104,91.23493194580078
60,-104.56786298016763,-17.365541504971794,106,92.2336654663086
61,-107.52733080036109,-17.857019094735147,109,93.23173522949219
62,-109.5003093471567,-18.18467082124405,111,94.22886657714844
63,-112.45977716735013,-18.676148411007407,114,95.22490692138672
64,-115.41924498754351,-19.167626000770763,117,96.21968841552734
65,-117.39222353433917,-19.49527772727966,119,97.2128677368164
66,-120.35169135453259,-19.986755317043013,122,98.20426177978516
67,-123.31115917472601,-20.478232906806365,125,99.1937026977539
68,-126.27062699491944,-20.969710496569718,128,100.18084716796875
69,-128.24360554171506,-21.297362223078615,130,101.16555786132812
70,-131.20307336190842,-21.788839812841974,133,102.14754486083984
71,-134.16254118210188,-22.280317402605327,136,103.12651062011719
72,-137.1220090022953,-22.77179499236868,139,104.102294921875
73,-140.08147682248872,-23.26327258213203,142,105.07456970214844
74,-143.04094464268215,-23.754750171895385,145,106.04316711425781
75,-146.00041246287554,-24.246227761658734,148,107.00776672363281
76,-148.959880283069,-24.73770535142209,151,107.96818542480469
77,-151.9193481032624,-25.229182941185442,154,108.92412567138672
78,-154.87881592345585,-25.720660530948795,157,109.87540435791016
79,-157.83828374364924,-26.212138120712147,160,110.82173919677734
80,-160.79775156384267,-26.703615710475503,163,111.762939453125
81,-163.75721938403612,-27.195093300238852,166,112.69874572753906
82,-166.71668720422952,-27.6865708900022,169,113.62897491455078
83,-169.67615502442297,-28.178048479765557,172,114.55340576171875
84,-173.62211211801417,-28.833351932783362,176,115.47184753417969
85,-176.58157993820762,-29.32482952254672,179,116.38406372070312
86,-179.54104775840102,-29.81630711231007,182,117.28992462158203
87,-182.50051557859445,-30.307784702073423,185,118.18925476074219
88,-186.44647267218568,-30.963088155091228,189,119.0819091796875
89,-189.40594049237916,-31.454565744854573,192,119.96769714355469
90,-192.36540831257253,-31.94604333461793,195,120.84651947021484
91,-196.31136540616376,-32.601346787635734,199,121.71827697753906
