,center_x,center_y,distance,distance_normalized,unknown_0,speed,accel,unknown_3,yawrate,radius,off_left,off_right,unknown_8,unknown_9,gravity_x,gravity_z,gravity_y,unknown_13,vector_1,vector_2,vector_3,unknown_17,psi,theta,phi,inner_x,inner_y,outer_x,outer_y
0,-67.37783813476562,-102.87987518310547,0.0,0.0,2.457877506425729e-42,52.899749755859375,1.0,0.0,0.05187249183654785,9786.79296875,4.72973108291626,6.2579216957092285,-0.0013898203615099192,-1.0,0.0010553954634815454,0.9999889135360718,0.0045919520780444145,0.6862251162528992,-0.5046421885490417,0.00046556274173781276,-0.8633283972740173,0.0,-2.099763885565161,0.004592019125478301,0.0010554071642150011,-61.97519570850227,-106.03788702025356,-71.46114998427318,-100.4930529324183
1,-68.08364868164062,-104.08775329589844,1.3989806175231934,0.0005696621504819536,0.00046556279994547367,53.01144790649414,1.0,0.0,0.046659745275974274,3892.50341796875,4.73444128036499,6.253276824951172,0.0002703666687011719,1.0,0.0015191028360277414,0.9999936819076538,0.0032434160821139812,1.398977518081665,-0.5045188069343567,0.0004062894731760025,-0.8634005784988403,0.0,-2.0996209409821174,0.0032434422612337296,0.0015191124339203831,-62.68456527441968,-107.2426493974116,-72.1713684603792,-101.69913837345206
2,-68.79148864746094,-105.29810333251953,2.8011116981506348,0.001140607163331334,0.00040628950227983296,53.123966217041016,1.0,0.0,0.04140873998403549,1378.07373046875,4.738826751708984,6.2493438720703125,0.0007063546217978001,1.0,0.0022359914146363735,0.9999855160713196,0.0048967101611196995,1.4021357297897339,-0.5048298239707947,0.00028600654331967235,-0.8632187843322754,0.0,-2.099981191926032,0.004896800655507855,0.0022360238010456354,-63.39693714397131,-108.45295878207352,-72.8821332817655,-102.90580204326938
3,-69.49978637695312,-106.50641632080078,4.201715469360352,0.001710930258795688,0.0002860065724235028,53.237770080566406,1.0,0.0,0.03609761968255043,891.8851318359375,4.74112606048584,6.2460856437683105,0.001268227118998766,1.0,-0.0034425558988004923,0.9999889135360718,-0.0032375215087085962,1.4006091356277466,-0.5057069063186646,0.00012732823961414397,-0.8627053499221802,0.0,-2.100997503155101,-0.003237563057691578,-0.0034425940649954133,-64.1112548649091,-109.66510497481484,-73.58998120240992,-104.10879612334989
4,-70.20997619628906,-107.71360778808594,5.602318286895752,0.00228125296592574,0.00012732823961414397,53.35322570800781,1.0,0.0,0.030709290876984596,647.9440307617188,4.741720199584961,6.2456159591674805,0.0011352692963555455,1.0,-0.002911464311182499,0.9999921321868896,-0.002698427764698863,1.4006001949310303,-0.5070610642433167,-6.638814375037327e-05,-0.8619101047515869,0.0,-2.10256790410308,-0.002698452270451815,-0.002911487218219805,-64.82681656026287,-110.88051653992359,-74.29691284923342,-105.30926603908851
5,-70.92274475097656,-108.9192123413086,7.002865791320801,0.0028515531496662626,-6.638814375037327e-05,53.470577239990234,1.0,0.0,0.02523280866444111,532.5458374023438,4.739326477050781,6.248286724090576,-0.001628476893529296,1.0,-0.0008409335277974606,0.9999885559082031,-0.004703175276517868,1.400543212890625,-0.5089228749275208,-0.0002907578309532255,-0.8608120679855347,0.0,-2.10472939106989,-0.004703246440399301,-0.0008409431516280837,-65.54414388995697,-112.09910852896721,-75.00241436214161,-106.5072605756609
6,-71.63868713378906,-110.1229476928711,8.403414726257324,0.003421853915908238,-0.00029075786005705595,53.58989715576172,1.0,0.0,0.01966424286365509,475.46343994140625,4.733569622039795,6.2542009353637695,-0.0004355112323537469,1.0,-0.0009096457506529987,0.9999972581863403,-0.0021767187863588333,1.4005542993545532,-0.5111849308013916,-0.0005280582699924707,-0.859470546245575,0.0,-2.10735933077244,-0.0021767264734705457,-0.0009096482447389816,-66.26338470784674,-113.32000151937507,-75.70705150770047,-107.70321781377582
7,-72.358154296875,-111.32453918457031,9.803930282592773,0.003992141090449636,-0.0005280583864077926,53.711124420166016,1.0,0.0,0.014006773009896278,454.4245910644531,4.72321081161499,6.26470422744751,0.0008234975975938141,1.0,-0.0014899246161803603,0.9999984502792358,-0.0009000031277537346,1.400519609451294,-0.5137143135070801,-0.0007575491326861084,-0.8579609990119934,0.0,-2.1103049240544753,-0.0009000046440113069,-0.0014899269251510533,-66.98328097968097,-114.54280826615971,-76.41048603371988,-108.89815754403712
8,-73.08133697509766,-112.52393341064453,11.204479217529297,0.004562441856691611,-0.0007575493073090911,53.834068298339844,1.0,0.0,0.008269067853689194,466.7422790527344,4.7086358070373535,6.278954982757568,0.0015174535801634192,1.0,-0.002143390942364931,0.9999974966049194,-0.000598608807194978,1.4005497694015503,-0.5163560509681702,-0.0009543208871036768,-0.8563734889030457,0.0,-2.113386965475109,-0.0005986103415035123,-0.002143396308132705,-67.7042040343072,-115.76611123003727,-77.11368961558219,-110.09259975478984
9,-73.80812072753906,-113.72116088867188,12.605043411254883,0.005132748836282423,-0.0009543213527649641,53.9584846496582,1.0,0.0,0.002462810603901744,509.7443542480469,4.689672946929932,6.297776699066162,0.0011510844342410564,1.0,-0.0014321905327960849,0.9999989867210388,-0.0001483694650232792,1.4005600214004517,-0.5189234018325806,-0.0010956053156405687,-0.8548200726509094,0.0,-2.1163877001114426,-0.00014836961590744573,-0.0014321919840060906,-68.42465170623528,-116.98922647062753,-77.81694959465138,-111.28757845461021
