,center_x,center_y,distance,distance_normalized,unknown_0,speed,accel,unknown_3,yawrate,radius,off_left,off_right,unknown_8,unknown_9,gravity_x,gravity_z,gravity_y,unknown_13,vector_1,vector_2,vector_3,unknown_17,psi,theta,phi,inner_x,inner_y,outer_x,outer_y
1753,528.5059814453125,923.6956787109375,2738.2216796875,0.39420618344266084,-0.024236496537923813,24.33320426940918,0.2215425670146942,0.0,-0.14881101250648499,378.8101806640625,1.9065022468566895,9.095820426940918,0.044743217527866364,-1.0,-0.04706500843167305,0.9986674785614014,-0.021168719977140427,1.552150011062622,-0.7910540699958801,-0.02473641000688076,0.6112458109855652,0.0,2.4837224459563765,-0.021198553048476232,-0.0471278072451814,522.944497190232,916.4981901128466,529.6716797254549,925.204286790242
1754,527.2660522460938,924.6456298828125,2739.785888671875,0.39443137370333675,-0.024743981659412384,24.48683738708496,0.2215425670146942,0.0,-0.18803806602954865,340.00262451171875,1.8542877435684204,9.105351448059082,0.04441068321466446,-1.0,-0.047531723976135254,0.9986627101898193,-0.020336518064141273,1.5619961023330688,-0.7935738563537598,-0.024424418807029724,0.6079834699630737,0.0,2.4878458465109166,-0.020365157977170416,-0.047595372783169936,521.728496881976,917.4177044832251,528.3937650092518,926.1175833330815
1755,526.0138549804688,925.5958251953125,2741.35986328125,0.39465796986543716,-0.024431707337498665,24.639713287353516,0.2215425670146942,0.0,-0.17131362855434418,342.3963928222656,1.83029043674469,9.101794242858887,0.043428435921669006,-1.0,-0.046296585351228714,0.9987379908561707,-0.019469397142529488,1.5718998908996582,-0.7963654398918152,-0.024973757565021515,0.6042999029159546,0.0,2.492469103115662,-0.019495233630246713,-0.046355085893489294,520.5119255217313,918.3452093131673,527.1202444025183,927.0538600130092
1756,524.7495727539062,926.5460205078125,2742.943603515625,0.39488597192896213,-0.024981549009680748,24.793615341186523,0.2215425670146942,0.0,-0.14919233322143555,366.6142272949219,1.7562968730926514,9.0972318649292,0.04268213361501694,-1.0,-0.04547734186053276,0.9987766146659851,-0.019418487325310707,1.5815438032150269,-0.7991428375244141,-0.025240860879421234,0.6006109714508057,0.0,2.497088150256677,-0.019443497794569883,-0.045533046321615644,519.2839338936787,919.2737155462578,525.8047601540073,927.9499999439521
1757,523.473388671875,927.4965209960938,2744.537109375,0.39511537989391166,-0.025248905643820763,24.94404411315918,0.2215425670146942,0.0,-0.17064446210861206,388.5622253417969,1.6973435878753662,9.078688621520996,0.04171620309352875,-1.0,-0.045863423496484756,0.9987879395484924,-0.017865289002656937,1.5912563800811768,-0.8017340302467346,-0.025642529129981995,0.5971306562423706,0.0,2.5014285414001023,-0.017887923031574427,-0.04591908019756182,518.0504422252767,920.2154332391813,524.4872579389304,928.8577867176273
1758,522.2664184570312,928.3882446289062,2746.0400390625,0.39533174812314853,-0.02565096504986286,25.085039138793945,0.2215425670146942,0.0,-0.16438347101211548,459.6248474121094,1.631235122680664,9.062851905822754,0.04109673947095871,-1.0,-0.046265553683042526,0.9987838864326477,-0.017036816105246544,1.5006492137908936,-0.8040188550949097,-0.026377104222774506,0.5940184593200684,0.0,2.5052906573899567,-0.017058387322706724,-0.04632188635750724,516.8810433658333,921.0990046277827,523.2357394929325,929.7002449165687
1759,521.0496215820312,929.2810668945312,2747.551513671875,0.3955493465161319,-0.026386285200715065,25.22637176513672,0.2215425670146942,0.0,-0.12335309386253357,620.6702270507812,1.6033669710159302,9.033353805541992,0.040962181985378265,-1.0,-0.04616089165210724,0.9987890124320984,-0.01702299900352955,1.5092138051986694,-0.8059440851211548,-0.027343520894646645,0.5913598537445068,0.0,2.508574224231816,-0.017044463901230947,-0.046216859694624884,515.7056607035871,921.9979656934111,521.9981430892528,930.5737743610846
1760,519.823974609375,930.17578125,2749.071533203125,0.3957681750728617,-0.027353748679161072,25.368663787841797,0.2215425670146942,0.0,-0.06468736380338669,926.0455322265625,1.585476040840149,9.000112533569336,0.04119448363780975,-1.0,-0.04479878395795822,0.9987940788269043,-0.020086651667952538,1.5174729824066162,-0.8073787093162537,-0.02773718349635601,0.589381217956543,0.0,2.5110191301580005,-0.02011225971680615,-0.04485287298716762,514.517435505076,922.9064849737806,520.7587840996193,931.4563535802599
1761,518.5899658203125,931.073486328125,2750.60009765625,0.39598823379333803,-0.027747860178351402,25.509416580200195,0.2215425670146942,0.0,-0.08301544934511185,1036.269287109375,1.5776375532150269,8.970783233642578,0.04030078649520874,-1.0,-0.04796305298805237,0.998708963394165,-0.01673322357237339,1.5259921550750732,-0.8083265423774719,-0.028711024671792984,0.5880337953567505,0.0,2.512666959428674,-0.01675563872036701,-0.048025055092173606,513.3126662077976,923.8191730853188,519.5180526808942,932.349258654416
1762,517.347900390625,931.9742431640625,2752.136474609375,0.396209417234954,-0.028722867369651794,25.645259857177734,0.2215425670146942,0.0,-0.050881579518318176,1158.9642333984375,1.5820813179016113,8.931827545166016,0.041156381368637085,-1.0,-0.04762381315231323,0.9987264275550842,-0.0166599340736866,1.5343042612075806,-0.8091983795166016,-0.028625143691897392,0.5868378281593323,0.0,2.5141475786232714,-0.016681952482458337,-0.04768454287216362,512.1042174769307,924.7436600065837,518.2767061398185,933.2549855959036
1763,516.0979614257812,932.878173828125,2753.681396484375,0.3964318308403164,-0.028636878356337547,25.788930892944336,0.2215425670146942,0.0,-0.04497826099395752,1066.0894775390625,1.5910428762435913,8.89734172821045,0.04057879373431206,-1.0,-0.04609797149896622,0.9988030791282654,-0.01635201834142208,1.5425426959991455,-0.8099847435951233,-0.028363704681396484,0.5857646465301514,0.0,2.515478544677183,-0.01637234530255844,-0.046153213243194616,510.8841155173978,925.6685621414814,517.030313204972,934.1674129812247
1764,514.8397827148438,933.7852783203125,2755.23486328125,0.3966554746094253,-0.02837512083351612,25.922149658203125,0.2215425670146942,0.0,0.005268797278404236,7990.00634765625,1.6143863201141357,8.853875160217285,0.03964824974536896,-1.0,-0.048736296594142914,0.9986696243286133,-0.016843637451529503,1.5510809421539307,-0.8108516335487366,-0.027682004496455193,0.5845967531204224,0.0,2.5169334571798014,-0.016866875403968692,-0.04880122055069754,509.6618518308654,926.6033470261929,515.783909510662,935.0948079244031
