,center_x,center_y,distance
0,0.0,0.0,0
1,-0.9864892733978075,-0.16382586325445084,1
2,-1.972978546795615,-0.32765172650890173,2
3,-2.959467820193422,-0.4914775897633525,3
4,-3.9459570935912294,-0.6553034530178034,4
5,-4.932446366989037,-0.8191293162722542,5
6,-5.918935640386844,-0.982955179526705,6
7,-6.9054249137846515,-1.1467810427811558,7
8,-7.891914187182459,-1.3106069060356067,8
9,-8.878403460580266,-1.4744327692900574,9
10,-9.864892733978074,-1.6382586325445083,10
11,-10.851382007375882,-1.8020844957989595,11
12,-11.83787128077369,-1.9659103590534102,12
13,-12.824360554171498,-2.1297362223078613,13
14,-13.810849827569307,-2.2935620855623124,14
15,-14.797339100967115,-2.4573879488167627,15
16,-15.783828374364923,-2.6212138120712143,16
17,-16.77031764776273,-2.785039675325665,17
18,-17.756806921160535,-2.948865538580116,18
19,-18.743296194558347,-3.1126914018345664,19
20,-19.729785467956155,-3.276517265089018,20
21,-20.716274741353963,-3.4403431283434687,21
22,-21.70276401475177,-3.6041689915979194,22
23,-22.68925328814958,-3.767994854852371,23
24,-23.675742561547388,-3.9318207181068217,24
25,-24.662231834945196,-4.095646581361272,25
26,-25.648721108343004,-4.259472444615724,26
27,-26.63521038174081,-4.423298307870174,27
28,-27.62169965513862,-4.587124171124626,28
29,-28.60818892853643,-4.750950034379077,29
30,-29.594678201934236,-4.914775897633526,30
31,-30.581167475332045,-5.078601760887978,31
32,-31.567656748729853,-5.2424276241424295,32
33,-32.55414602212766,-5.406253487396881,33
34,-33.54063529552547,-5.570079350651332,34
35,-34.52712456892328,-5.733905213905783,35
36,-35.513613842321085,-5.897731077160232,36
37,-36.500103115718886,-6.061556940414684,37
38,-37.4865923891167,-6.2253828036691345,38
39,-38.47308166251451,-6.389208666923586,39
40,-39.45957093591232,-6.553034530178037,40
41,-40.446060209310126,-6.716860393432487,41
42,-41.432549482707934,-6.880686256686938,42
43,-42.41903875610574,-7.04451211994139,43
44,-43.40552802950355,-7.2083379831958405,44
45,-44.39201730290136,-7.372163846450292,45
46,-45.37850657629916,-7.535989709704743,46
47,-46.364995849696975,-7.699815572959193,47
48,-47.35148512309478,-7.863641436213644,48
49,-48.33797439649259,-8.027467299468096,49
50,-49.3244636698904,-8.191293162722546,50
51,-50.31095294328821,-8.355119025976997,51
52,-51.297442216686015,-8.51894488923145,52
53,-52.28393149008382,-8.682770752485899,53
54,-53.27042076348163,-8.84659661574035,54
55,-54.25691003687944,-9.010422478994801,55
56,-55.24339931027725,-9.174248342249253,56
57,-56.229888583675056,-9.338074205503704,57
58,-57.216377857072864,-9.501900068758154,58
59,-58.20286713047067,-9.665725932012606,59
60,-59.18935640386848,-9.829551795267054,60
61,-60.17584567726629,-9.993377658521506,61
62,-61.162334950664096,-10.157203521775958,62
63,-62.148824224061904,-10.32102938503041,63
64,-63.13531349745971,-10.48485524828486,64
65,-64.12180277085751,-10.64868111153931,65
66,-65.10829204425532,-10.81250697479376,66
67,-66.09478131765313,-10.97633283804821,67
68,-67.08127059105094,-11.140158701302664,68
69,-68.06775986444875,-11.303984564557112,69
70,-69.05424913784655,-11.467810427811566,70
71,-70.04073841124436,-11.631636291066014,71
72,-71.02722768464217,-11.795462154320466,72
73,-72.01371695803998,-11.959288017574918,73
74,-73.00020623143779,-12.123113880829369,74
75,-73.9866955048356,-12.28693974408382,75
76,-74.9731847782334,-12.450765607338269,76
77,-75.95967405163121,-12.614591470592721,77
78,-76.94616332502902,-12.778417333847171,78
79,-77.93265259842683,-12.942243197101623,79
80,-78.91914187182464,-13.106069060356072,80
81,-79.90563114522244,-13.269894923610526,81
82,-80.89212041862025,-13.433720786864974,82
83,-81.87860969201806,-13.597546650119426,83
84,-82.86509896541587,-13.761372513373876,84
85,-83.85158823881368,-13.925198376628328,85
86,-84.83807751221147,-14.08902423988278,86
87,-85.82456678560929,-14.252850103137229,87
88,-86.8110560590071,-14.416675966391683,88
89,-87.79754533240491,-14.580501829646131,89
90,-88.78403460580272,-14.744327692900583,90
91,-89.77052387920052,-14.908153556155035,91
92,-90.75701315259833,-15.071979419409487,92
93,-91.74350242599614,-15.235805282663934,93
94,-92.72999169939395,-15.399631145918386,94
95,-93.71648097279176,-15.563457009172838,95
96,-94.70297024618957,-15.72728287242729,96
97,-95.68945951958737,-15.89110873568174,97
98,-96.67594879298518,-16.054934598936192,98
99,-97.66243806638299,-16.21876046219064,99
100,-98.6489273397808,-16.382586325445093,100
101,-99.6354166131786,-16.546412188699545,101
102,-100.62190588657641,-16.710238051953997,102
103,-101.60839515997422,-16.874063915208446,103
104,-102.59488443337203,-17.037889778462898,104
105,-103.58137370676984,-17.201715641717346,105
106,-104.56786298016765,-17.365541504971794,106
107,-105.55435225356545,-17.52936736822625,107
108,-106.54084152696326,-17.6931932314807,108
109,-107.52733080036107,-17.85701909473515,109
110,-108.51382007375888,-18.020844957989603,110
111,-109.50030934715667,-18.184670821244055,111
112,-110.4867986205545,-18.348496684498503,112
113,-111.4732878939523,-18.512322547752955,113
114,-112.45977716735011,-18.676148411007404,114
115,-113.44626644074792,-18.839974274261856,115
116,-114.43275571414573,-19.003800137516308,116
117,-115.41924498754352,-19.16762600077076,117
118,-116.40573426094134,-19.331451864025208,118
119,-117.39222353433915,-19.49527772727966,119
120,-118.37871280773696,-19.65910359053411,120
121,-119.36520208113477,-19.822929453788564,121
122,-120.35169135453258,-19.986755317043013,122
123,-121.33818062793038,-20.150581180297465,123
124,-122.32466990132819,-20.314407043551913,124
125,-123.311159174726,-20.478232906806365,125
126,-124.29764844812381,-20.642058770060817,126
127,-125.28413772152162,-20.805884633315266,127
128,-126.27062699491943,-20.96971049656972,128
129,-127.25711626831722,-21.13353635982417,129
130,-128.24360554171503,-21.297362223078615,130
131,-129.23009481511284,-21.46118808633307,131
132,-130.21658408851064,-21.625013949587522,132
133,-131.20307336190845,-21.788839812841974,133
134,-132.18956263530626,-21.952665676096423,134
135,-133.17605190870407,-22.116491539350868,135
136,-134.16254118210188,-22.280317402605327,136
137,-135.14903045549968,-22.444143265859775,137
138,-136.1355197288975,-22.607969129114224,138
139,-137.1220090022953,-22.771794992368676,139
140,-138.1084982756931,-22.93562085562313,140
141,-139.09498754909092,-23.09944671887758,141
142,-140.08147682248872,-23.26327258213203,142
143,-141.06796609588653,-23.427098445386484,143
144,-142.05445536928434,-23.590924308640933,144
145,-143.04094464268215,-23.754750171895385,145
146,-144.02743391607996,-23.918576035149837,146
147,-145.01392318947777,-24.082401898404285,147
148,-146.00041246287557,-24.246227761658737,148
149,-146.98690173627338,-24.410053624913186,149
150,-147.9733910096712,-24.57387948816764,150
151,-148.959880283069,-24.73770535142209,151
152,-149.9463695564668,-24.901531214676538,152
153,-150.9328588298646,-25.06535707793099,153
154,-151.91934810326242,-25.22918294118544,154
155,-152.90583737666023,-25.393008804439894,155
156,-153.89232665005804,-25.556834667694343,156
157,-154.87881592345585,-25.720660530948795,157
158,-155.86530519685365,-25.884486394203247,158
159,-156.85179447025146,-26.048312257457695,159
160,-157.83828374364924,-26.212138120712147,160
161,-158.82477301704708,-26.375963983966596,161
162,-159.8112622904449,-26.53978984722105,162
163,-160.7977515638427,-26.7036157104755,163
164,-161.7842408372405,-26.86744157372995,164
165,-162.7707301106383,-27.031267436984404,165
166,-163.75721938403612,-27.195093300238852,166
167,-164.74370865743393,-27.358919163493304,167
168,-165.73019793083174,-27.52274502674775,168
169,-166.71668720422954,-27.686570890002205,169
170,-167.70317647762735,-27.850396753256657,170
171,-168.68966575102516,-28.014222616511105,171
172,-169.67615502442297,-28.17804847976556,172
173,-170.66264429782078,-28.34187434302001,173
174,-171.64913357121858,-28.505700206274458,174
175,-172.63562284461636,-28.669526069528914,175
176,-173.6221121180142,-28.833351932783362,176
177,-174.608601391412,-28.997177796037814,177
178,-175.59509066480982,-29.161003659292263,178
179,-176.58157993820762,-29.32482952254672,179
180,-177.56806921160543,-29.488655385801167,180
181,-178.55455848500324,-29.652481249055615,181
182,-179.54104775840105,-29.81630711231007,182
183,-180.52753703179886,-29.98013297556452,183
184,-181.51402630519667,-30.14395883881897,184
185,-182.50051557859445,-30.30778470207342,185
186,-183.48700485199228,-30.471610565327868,186
187,-184.4734941253901,-30.635436428582327,187
188,-185.4599833987879,-30.799262291836772,188
189,-186.4464726721857,-30.963088155091224,189
190,-187.43296194558351,-31.126914018345676,190
191,-188.41945121898132,-31.29073988160013,191
192,-189.40594049237913,-31.454565744854577,192
193,-190.39242976577694,-31.61839160810903,193
194,-191.37891903917475,-31.782217471363484,194
195,-192.36540831257255,-31.946043334617933,195
196,-193.35189758597036,-32.10986919787238,196
197,-194.33838685936817,-32.27369506112683,197
198,-195.32487613276598,-32.43752092438129,198
199,-196.31136540616376,-32.601346787635734,199
200,-197.2978546795616,-32.765172650890186,200
201,-198.2843439529594,-32.92899851414463,201
202,-199.2708332263572,-33.09282437739909,202
203,-200.25732249975502,-33.25665024065354,203
204,-201.24381177315283,-33.42047610390799,204
205,-202.23030104655064,-33.58430196716244,205
206,-203.21679031994844,-33.74812783041689,206
