time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
2020/07/16/17:55:35.802590,73329,1594889735,802272319,,,0,1594889728,-83.88600159,-103.7511139,5.60366869,53.13813019,0.236242056,-0.0252174605,-0.172067165,0.567250013,0,21.54750061,0.0037407123,1594889735.80227
2020/07/16/17:55:35.902584,73330,1594889735,902264118,,,0,1594889728,-84.38349152,-105.0901947,5.60341835,53.92550659,0.232001349,-0.000966950611,-0.177396119,0.566049993,0,19.57019806,0.0043344018,1594889735.90226
2020/07/16/17:55:36.002586,73331,1594889736,2269744,,,0,1594889728,-84.90340424,-106.5404816,5.603384972,54.75251389,0.224757701,0.0105530024,-0.186056584,0.566049993,0,19.57019806,0.00496318843,1594889736.00227
2020/07/16/17:55:36.102580,73332,1594889736,102262020,,,0,1594889728,-85.50279999,-108.2825928,5.603633404,55.71281433,0.219905242,-0.00128854846,-0.181447893,0.55309999,0,18.2519989,0.00571227539,1594889736.10226
2020/07/16/17:55:36.202579,73333,1594889736,202260017,,,0,1594889728,-85.81207275,-109.2122269,5.60363245,56.17897034,0.19596085,-0.00414390117,-0.169369608,0.487049997,0,17.18729973,0.00611160323,1594889736.20226
2020/07/16/17:55:36.302566,73334,1594889736,302249193,,,0,1594889728,-86.40434265,-111.0518265,5.60324192,56.83451843,0.0973715335,-0.0104933772,-0.144370466,0.184799999,0,13.84109974,0.0068818666,1594889736.30225
2020/07/16/17:55:36.402579,73335,1594889736,402260780,,,0,1594889728,-86.93765259,-112.771843,5.602956772,56.74221802,-0.0893390849,-0.0216519702,-0.115209937,0,0,10.03859997,0.00760310143,1594889736.40226
2020/07/16/17:55:36.502577,73336,1594889736,502259492,,,0,1594889728,-87.14326477,-113.4495392,5.60256052,56.59658432,-0.0977215469,-0.0164801534,-0.111165434,0,0,8.923199654,0.00788045954,1594889736.50226
2020/07/16/17:55:36.602562,73337,1594889736,602258682,,,0,1594889728,-87.70523834,-115.3405609,5.601734638,56.16335297,-0.0995682776,-0.0335245766,-0.0877452716,0,0,6.793799877,0.00866630673,1594889736.60226
2020/07/16/17:55:36.702577,73338,1594889736,702270746,,,0,1594889728,-88.18556213,-116.9976654,5.600839615,55.78668976,-0.0935046971,-0.00702388491,-0.0708257109,0,0,6.388199806,0.00934410468,1594889736.70227
2020/07/16/17:55:36.802649,73339,1594889736,802316427,,,0,1594889728,-88.59114075,-118.4242325,5.599954605,55.47446823,-0.0882903039,0.0187466629,-0.0777813047,0,0,6.185400009,0.00992499664,1594889736.80232
2020/07/16/17:55:36.902718,73340,1594889736,902366638,,,0,1594889728,-89.12310791,-120.3313599,5.598745823,55.06386566,-0.0891225934,-0.0191331971,-0.0671944916,0,0,5.222100258,0.0106952516,1594889736.90237
2020/07/16/17:55:37.002552,73341,1594889737,2269506,,,0,1594889728,-89.54580688,-121.8755798,5.595859528,54.75081253,-0.0836435929,-0.0245985985,-0.0467360877,0,0,4.562999725,0.0113251582,1594889737.00227
2020/07/16/17:55:37.102524,73342,1594889737,102247476,,,0,1594889728,-89.78367615,-122.7547913,5.593073845,54.57498169,-0.0782074705,-0.0490115881,-0.0582623556,0,0,4.715099812,0.0116749164,1594889737.10225
2020/07/16/17:55:37.202534,73343,1594889737,202258348,,,0,1594889728,-90.2746048,-124.5931854,5.584113598,54.18000412,-0.0916644484,0.0175634492,-0.0542833433,0,0,4.715099812,0.0124217831,1594889737.20226
2020/07/16/17:55:37.302599,73344,1594889737,302271127,,,0,1594889728,-90.52738953,-125.5514908,5.580250263,53.96623993,-0.0989765376,0.00589216314,-0.0310074333,0,0,4.715099812,0.0128060728,1594889737.30227
2020/07/16/17:55:37.402570,73345,1594889737,402255058,,,0,1594889728,-91.01402283,-127.4150162,5.575954914,53.55954361,-0.0888034627,0.0642741174,-0.0364935026,0,0,4.562999725,0.0135523072,1594889737.40226
2020/07/16/17:55:37.502583,73346,1594889737,502270460,,,0,1594889728,-91.40297699,-128.922699,5.577492714,53.23507309,-0.0883495063,0.0239801835,-0.0396240205,0,0,2.484300137,0.014156105,1594889737.50227
2020/07/16/17:55:37.602574,73347,1594889737,602255582,,,0,1594889728,-91.62239838,-129.7806702,5.57897377,53.05819321,-0.0861731768,0.00070008263,-0.0113206021,0,0,-1.622399926,0.0145074446,1594889737.60226
2020/07/16/17:55:37.702574,73348,1594889737,702256679,,,0,1594889728,-92.09210205,-131.6156311,5.580912113,52.6819458,-0.0912255049,-0.0105445115,0.067982018,0,0,-10.64700031,0.015238978,1594889737.70226
2020/07/16/17:55:37.802584,73349,1594889737,802266597,,,0,1594889728,-92.52391052,-133.266037,5.579627037,52.33201218,-0.0801099911,-0.069739446,0.108465493,0.0617500246,0,-15.41279888,0.0159012787,1594889737.80227
2020/07/16/17:55:37.902570,73350,1594889737,902255296,,,0,1594889728,-92.7503891,-134.1081238,5.57656908,52.35119629,0.0317253955,-0.00279103522,0.131207779,0.348650008,0,-16.52820015,0.0162417181,1594889737.90226
2020/07/16/17:55:38.002586,73351,1594889738,2264022,,,0,1594889728,-93.25469971,-135.9215088,5.569983959,52.76531982,0.154467851,-0.00505879149,0.165403634,0.646399975,0,-18.04920006,0.016975686,1594889738.00226
2020/07/16/17:55:38.102594,73352,1594889738,102263689,,,0,1594889728,-93.70081329,-137.4516296,5.564498901,53.47774506,0.235420823,0.00425283844,0.152650237,0.709450006,0,-16.73099899,0.0176012013,1594889738.10226
2020/07/16/17:55:38.202597,73353,1594889738,202255010,,,0,1594889728,-93.95934296,-138.3095551,5.561866283,53.97909546,0.24653393,0.0301640257,0.170176908,0.719500005,0,-15.81839943,0.0179579128,1594889738.20226
2020/07/16/17:55:38.302587,73354,1594889738,302258968,,,0,1594889728,-94.55680084,-140.2213593,5.557303429,55.21484756,0.279278457,0.00991748646,0.155331507,0.720449984,0,-15.81839943,0.018744098,1594889738.30226
2020/07/16/17:55:38.402613,73355,1594889738,402263879,,,0,1594889728,-94.89938354,-141.2796326,5.554990292,55.93798065,0.293799341,-0.0126918871,0.149691164,0.711899996,0,-14.80439949,0.0191786028,1594889738.40226
2020/07/16/17:55:38.502612,73356,1594889738,502263069,,,0,1594889728,-95.55652618,-143.24823,5.550814629,57.063694,0.136241183,0.0321627147,0.117035747,0.285650015,0,-11.2553997,0.0200045519,1594889738.50226
2020/07/16/17:55:38.602614,73357,1594889738,602271795,,,0,1594889728,-96.08174133,-144.7797089,5.550398827,57.04595184,-0.0814369172,0.0388958082,0.0712892115,0,0,-6.692399979,0.0206455979,1594889738.60227
2020/07/16/17:55:38.702600,73358,1594889738,702254533,,,0,1594889728,-96.54829407,-146.1232605,5.551722527,56.76037979,-0.0913514644,-0.0282678194,0.0162435435,0,0,-2.027999878,0.0212097764,1594889738.70225
2020/07/16/17:55:38.802596,73359,1594889738,802254676,,,0,1594889728,-97.09241486,-147.6809387,5.551620007,56.40759659,-0.109338418,0.00678585796,0.0311302263,0,0,-1.622399926,0.0218641814,1594889738.80225
2020/07/16/17:55:38.902674,73360,1594889738,902303695,,,0,1594889728,-97.62020874,-149.1837921,5.550272942,56.05948257,-0.0955399275,-0.0260444544,0.0297286008,0,0,-1.115399957,0.0224974249,1594889738.90230
