time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
2020/07/16/13:53:46.866001,24,1594875226,865764379,,,0,1594875264,-576.5565796,-261.1228638,-81.78249359,78.78816223,-0.0332139283,-0.0199651644,0.363302112,0.0522499979,0,-26.66819954,0.173746213,1594875226.86576
2020/07/16/13:53:46.966091,25,1594875226,965778827,,,0,1594875264,-577.4262695,-260.6629639,-81.77472687,78.63101959,-0.13740477,-0.0651976019,0.393902004,0,0,-28.59479904,0.173947692,1594875226.96578
2020/07/16/13:53:47.066087,26,1594875227,65788269,,,0,1594875264,-580.2786865,-259.0862427,-81.75746918,77.84494781,-0.155494437,-0.0893337876,0.481422991,0,0,-31.63679886,0.174609974,1594875227.06579
2020/07/16/13:53:47.166030,27,1594875227,165753602,,,0,1594875264,-581.1184082,-258.5984497,-81.75457001,77.58740234,-0.153594404,-0.00613869261,0.5553298,0,0,-31.02839851,0.174808919,1594875227.16575
2020/07/16/13:53:47.266083,28,1594875227,265786170,,,0,1594875264,-583.1546021,-257.3625183,-81.74739075,77.01828766,-0.0467384905,-0.0310924314,0.563701749,0.117700011,0,-30.01440048,0.175295115,1594875227.26579
2020/07/16/13:53:47.366086,29,1594875227,365797519,,,0,1594875264,-585.8359985,-255.6075439,-81.74240875,76.88851929,0.0394440889,-0.0209281817,0.599810958,0.408950001,0,-27.37799835,0.175947845,1594875227.36580
2020/07/16/13:53:47.466073,30,1594875227,465778350,,,0,1594875264,-587.411438,-254.5034027,-81.74199677,77.03279877,0.0885777324,0.0234412327,0.558773875,0.474599987,0,-24.03179932,0.176339865,1594875227.46578
2020/07/16/13:53:47.566084,31,1594875227,565788984,,,0,1594875264,-588.6044922,-253.6308899,-81.74137878,77.18614197,0.0534341782,-0.0190612264,0.535293579,0.50910002,0,-20.9897995,0.176641718,1594875227.56579
2020/07/16/13:53:47.666085,32,1594875227,665792942,,,0,1594875264,-590.9077148,-251.8624573,-81.73701477,77.69887543,0.124426313,0.0402734689,0.406746536,0.551599979,0,-16.52820015,0.177230284,1594875227.66579
2020/07/16/13:53:47.766075,33,1594875227,765784740,,,0,1594875264,-592.4765015,-250.6007843,-81.72967529,78.12812042,0.138707057,0.0279814601,0.375757009,0.551599979,0,-17.74500084,0.177639708,1594875227.76578
