,time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp,lateralOffset
20,2020/06/24/22:54:06.043506,38829,1593006846,43181896,,,0,1593006848,127.8331528,-393.0654297,-84.32212829999999,89.97711182,0.299491346,0.0175780021,-0.064360559,1.0,0.0,2.8898997310000003,0.016436133500000002,1593006846.04318,0.19068234837958611
21,2020/06/24/22:54:06.143543,38830,1593006846,143182754,,,0,1593006848,124.8474121,-393.5352783,-84.30522919,91.28918457,0.33228153,0.013485326399999999,-0.065808937,1.0,0.0,3.447599888,0.0170550011,1593006846.1431801,0.242409548256863
22,2020/06/24/22:54:06.243499,38831,1593006846,243158817,,,0,1593006848,123.5656128,-393.7394104,-84.29741669,91.85720825,0.335896015,0.00336971646,-0.062319912000000005,1.0,0.0,3.80250001,0.0173202027,1593006846.24316,0.26270464567480606
23,2020/06/24/22:54:06.343533,38832,1593006846,343178272,,,0,1593006848,119.75109099999999,-394.3561707,-84.27362823,93.51556396,0.310844809,-0.005789390300000001,-0.065856494,1.0,0.0,4.106699944,0.018113177299999998,1593006846.3431802,0.3228600249727298
24,2020/06/24/22:54:06.443465,38833,1593006846,443131208,,,0,1593006848,118.12956240000001,-394.62295530000006,-84.26393127,94.19494629,0.294224054,-0.0297312792,-0.07575804,1.0,0.0,3.650399923,0.0184515417,1593006846.44313,0.3498879915584298
25,2020/06/24/22:54:06.543527,38834,1593006846,543183803,,,0,1593006848,115.00970459999999,-395.144165,-84.24864197,95.50263214,0.281621933,0.0710788965,-0.0722825825,1.0,0.0,2.991299868,0.0190969333,1593006846.54318,0.40461276439473043
26,2020/06/24/22:54:06.643491,38835,1593006846,643170833,,,0,1593006848,112.0880966,-395.6420898,-84.23603058,96.64871216,0.33217889100000003,-0.021055961,-0.0532089025,1.0,0.0,2.33220005,0.019705586100000002,1593006846.6431699,0.45303294911543257
27,2020/06/24/22:54:06.743483,38836,1593006846,743165969,,,0,1593006848,110.97362520000001,-395.83428960000003,-84.23036194,97.10551453,0.25606530899999996,0.134823665,-0.063367635,1.0,0.0,2.281499863,0.0199396778,1593006846.74317,0.469651172400891
28,2020/06/24/22:54:06.843489,38837,1593006846,843179702,,,0,1593006848,106.95429229999999,-396.5362244,-84.20417023,98.6649704,0.250334084,0.257686019,-0.055311854900000006,1.0,0.0,3.244799852,0.0207748897,1593006846.8431802,0.5174254596480534
29,2020/06/24/22:54:06.943454,38838,1593006846,943145751,,,0,1593006848,104.1871338,-397.0271912,-84.18313599,99.72181702,0.32729026699999997,0.0858133808,-0.0946167782,1.0,0.0,3.903899908,0.021351380299999997,1593006846.94315,0.5420089138833843
