time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
2020/06/24/21:38:59.789301,10058,1593002339,788947105,,,0,1593002368,-305.1842346,-726.2176514,21.59698677,1.692133904,0.22369802,0.00671222853,0.0678565651,0.564050019,0,-19.77300072,0.0176230539,1593002339.78895
2020/06/24/21:38:59.889295,10059,1593002339,888941049,,,0,1593002368,-305.2209778,-726.2727051,21.59851074,1.813730121,0.191326737,0.011535868,0.0260238126,0,0,-19.77300072,0.0176348276,1593002339.88894
2020/06/24/21:38:59.989288,10060,1593002339,988948583,,,0,1593002368,-305.2466736,-726.3111572,21.59976578,1.803011775,-0.0473312102,0.000655686716,-0.133594036,0,0,-19.97579956,0.0176414642,1593002339.98895
2020/06/24/21:39:00.089314,10061,1593002340,88960409,,,0,1593002368,-305.2853394,-726.3692017,21.60141945,1.837959409,0.0219877064,0.00278449804,0.0484470241,0,0,-19.87440109,0.0176517405,1593002340.08896
2020/06/24/21:39:00.189305,10062,1593002340,188952922,,,0,1593002368,-305.2981873,-726.3884277,21.60178185,1.853001714,0.0496452972,0.00228242856,0.043512065,0,0,-19.97579956,0.0176547375,1593002340.18895
2020/06/24/21:39:00.289259,10063,1593002340,288961172,,,0,1593002368,-305.3383484,-726.447937,21.60306549,1.907940865,0.0938474536,0.00437227124,-0.00900293142,0,0,-19.87440109,0.0176635142,1593002340.28896
2020/06/24/21:39:00.389292,10064,1593002340,388949394,,,0,1593002368,-305.3686523,-726.4934692,21.60403061,1.925905228,0.0415554382,0.0072192126,0.0584434271,0,0,-20.07719994,0.0176703651,1593002340.38895
2020/06/24/21:39:00.489267,10065,1593002340,488946437,,,0,1593002368,-305.3940735,-726.5310669,21.60481453,1.969219446,0.0338256136,0.00540137663,0.0249152295,0,0,-20.17860031,0.017679356,1593002340.48895
2020/06/24/21:39:00.589302,10066,1593002340,588957071,,,0,1593002368,-305.4225159,-726.5736694,21.60583687,1.992414117,0.0173261557,0.00290228357,0.0069719418,0,0,-20.07719994,0.0176859926,1593002340.58896
2020/06/24/21:39:00.689294,10067,1593002340,688968420,,,0,1593002368,-305.4657288,-726.6380005,21.60753059,2.047355652,0.0397016704,0.00384017569,0.0197385661,0,0,-20.27999878,0.0176975522,1593002340.68897
2020/06/24/21:39:00.789303,10068,1593002340,788954734,,,0,1593002368,-305.4953308,-726.6819458,21.60853386,2.072039366,0.0157040693,0.0017121837,-0.00821742788,0,0,-20.27999878,0.0177052598,1593002340.78895
2020/06/24/21:39:00.889273,10069,1593002340,888930082,,,0,1593002368,-305.513855,-726.7095947,21.60907936,2.089964151,0.130961105,0.00793132465,-0.0759699196,0,0,-20.07719994,0.017710397,1593002340.88893
2020/06/24/21:39:00.989306,10070,1593002340,988960742,,,0,1593002368,-305.556427,-726.772583,21.61036301,2.155063391,0.0477669314,0.0101534929,-0.0507794991,0,0,-20.38139915,0.0177200306,1593002340.98896
2020/06/24/21:39:01.089273,10071,1593002341,88931083,,,0,1593002368,-305.587616,-726.8189087,21.61153221,2.184259415,0.132098615,0.00500474637,-0.128851935,0,0,-20.07719994,0.0177285988,1593002341.08893
2020/06/24/21:39:01.189337,10072,1593002341,188996791,,,0,1593002368,-305.6224365,-726.8705444,21.61314011,2.200126886,0.106174342,0.00519770384,-0.042590946,0,0,-20.17860031,0.0177380312,1593002341.18900
2020/06/24/21:39:01.289238,10073,1593002341,288931608,,,0,1593002368,-305.6671143,-726.9364624,21.61500359,2.247569561,-0.0243864134,-0.00315840403,0.143711194,0,0,-19.97579956,0.0177498218,1593002341.28893
2020/06/24/21:39:01.389213,10074,1593002341,388907194,,,0,1593002368,-305.7010803,-726.9867554,21.61591911,2.280855179,0.00766421156,0.00322252023,0.0218126941,0,0,-20.17860031,0.0177560393,1593002341.38891
2020/06/24/21:39:01.489264,10075,1593002341,488949298,,,0,1593002368,-305.7204895,-727.0153198,21.6164341,2.312585354,-0.0263103154,0.00964927021,-0.105226368,0,0,-20.17860031,0.0177618284,1593002341.48895
2020/06/24/21:39:01.589280,10076,1593002341,588960409,,,0,1593002368,-305.7720947,-727.0907593,21.61836433,2.363876104,0.0817475766,0.00175640476,-0.0360216126,0,0,-20.58419991,0.0177770481,1593002341.58896
2020/06/24/21:39:01.689301,10077,1593002341,688953399,,,0,1593002368,-305.7854614,-727.1104126,21.61893845,2.368487597,0.00889029447,-0.00962952338,0.034670867,0,0,-20.48279953,0.0177796204,1593002341.68895
2020/06/24/21:39:01.789283,10078,1593002341,788939476,,,0,1593002368,-305.8384705,-727.1879883,21.62092781,2.437428713,0.0725255013,0.0124792242,-0.0518817604,0,0,-20.38139915,0.0177929122,1593002341.78894
2020/06/24/21:39:01.889309,10079,1593002341,888948917,,,0,1593002368,-305.8729248,-727.2383423,21.62232399,2.457722664,0.14386268,-0.00138082297,-0.146581084,0,0,-20.58419991,0.0178008452,1593002341.88895
2020/06/24/21:39:01.989306,10080,1593002341,988960504,,,0,1593002368,-305.9277954,-727.3185425,21.62423706,2.508171558,-0.0856841803,-0.00955109484,-0.0280906558,0,0,-20.68559837,0.0178149939,1593002341.98896
2020/06/24/21:39:02.089293,10081,1593002342,88948249,,,0,1593002368,-305.9491882,-727.3496094,21.62487221,2.532544136,0.0297839213,0.00347282691,-0.0288577899,0,0,-20.58419991,0.0178212095,1593002342.08895
2020/06/24/21:39:02.189317,10082,1593002342,188965797,,,0,1593002368,-306.0058594,-727.432312,21.62666321,2.574008465,-0.0912349969,-0.0111223059,-0.0624611005,0,0,-20.78699875,0.0178349297,1593002342.18897
2020/06/24/21:39:02.289304,10083,1593002342,288947105,,,0,1593002368,-306.0205078,-727.4535522,21.62709618,2.601190567,0.00761908386,-0.00570475589,0.00215334981,0,0,-20.68559837,0.017839646,1593002342.28895
2020/06/24/21:39:02.389280,10084,1593002342,388955116,,,0,1593002368,-306.0785217,-727.5383301,21.62886047,2.645580053,-0.026209224,-0.00125449628,0.0116621871,0,0,-20.38139915,0.0178533662,1593002342.38896
2020/06/24/21:39:02.489283,10085,1593002342,488939046,,,0,1593002368,-306.1223755,-727.602417,21.63070488,2.68027854,0.0062796548,-0.00554636354,-0.116584793,0,0,-20.78699875,0.017865371,1593002342.48894
2020/06/24/21:39:02.589273,10086,1593002342,588931560,,,0,1593002368,-306.1581726,-727.6538086,21.63213348,2.706576586,-0.0399282947,-0.0144411242,-0.00829515606,0,0,-20.9897995,0.017873304,1593002342.58893
2020/06/24/21:39:02.689293,10087,1593002342,688961029,,,0,1593002368,-306.1983643,-727.711792,21.63345718,2.740849495,0.0494003445,0.00458950968,-0.0503766201,0,0,-21.39539909,0.0178846661,1593002342.68896
2020/06/24/21:39:02.789253,10088,1593002342,788962841,,,0,1593002368,-306.2601013,-727.8010864,21.63543892,2.805400372,0.00847715884,-0.00329355407,-0.0508070067,0,0,-21.09119987,0.0178992432,1593002342.78896
2020/06/24/21:39:02.889243,10089,1593002342,888941764,,,0,1593002368,-306.2814026,-727.8319702,21.63611603,2.801575184,-0.0442122445,-0.00306555862,-0.0211007185,0,0,-21.09119987,0.0179071762,1593002342.88894
2020/06/24/21:39:02.989260,10090,1593002342,988960742,,,0,1593002368,-306.3451233,-727.923645,21.6383152,2.869935513,0.0124501567,-0.00753490534,-0.0296470802,0,0,-21.69959831,0.017921539,1593002342.98896
2020/06/24/21:39:03.089258,10091,1593002343,88954687,,,0,1593002368,-306.3877563,-727.9844971,21.63975334,2.896964073,-0.107998028,-0.0129894745,-0.0311526656,0,0,-21.69959831,0.017932687,1593002343.08895
2020/06/24/21:39:03.189437,10092,1593002343,189077138,,,0,1593002368,-306.4280701,-728.0424194,21.64097023,2.941422224,0.0818756372,0.00872372836,0.0153315514,0,0,-21.49679947,0.017942762,1593002343.18908
2020/06/24/21:39:03.289212,10093,1593002343,288927793,,,0,1593002368,-306.4759827,-728.1109619,21.64249611,2.975105762,0.010709174,0.00331012625,0.181355163,0,0,-21.80099869,0.0179545674,1593002343.28893
2020/06/24/21:39:03.389190,10094,1593002343,388918876,,,0,1593002368,-306.5259399,-728.1821289,21.64427567,3.012025118,0.162365854,0.00415527914,-0.0263676643,0,0,-21.39539909,0.0179674476,1593002343.38892
2020/06/24/21:39:03.489273,10095,1593002343,488952875,,,0,1593002368,-306.5853271,-728.2670288,21.64636993,3.065823078,0.0950605199,-0.00162310782,-0.0814309567,0,0,-21.80099869,0.0179824736,1593002343.48895
2020/06/24/21:39:03.589301,10096,1593002343,588948726,,,0,1593002368,-306.6087646,-728.3002319,21.64713478,3.063976288,-0.0217459965,0.00138409925,-0.0500162132,0,0,-21.90239906,0.0179865528,1593002343.58895
2020/06/24/21:39:03.689294,10097,1593002343,688963890,,,0,1593002368,-306.6783142,-728.399292,21.64972305,3.120592117,0.119304813,0.000382490514,0.0248268507,0,0,-21.80099869,0.0180052295,1593002343.68896
2020/06/24/21:39:03.789293,10098,1593002343,788948774,,,0,1593002368,-306.7023621,-728.4332886,21.65070724,3.129567385,0.162487566,0.00807811692,-0.165082321,0,0,-22.20660019,0.018012099,1593002343.78895
2020/06/24/21:39:03.889291,10099,1593002343,888939857,,,0,1593002368,-306.7737732,-728.5337524,21.65351868,3.173182249,0.0238420963,3.11E-05,-0.0242261514,0,0,-22.40939903,0.0180275552,1593002343.88894
2020/06/24/21:39:03.989247,10100,1593002343,988947868,,,0,1593002368,-306.8213501,-728.6010132,21.65500641,3.205775738,0.0491914116,0.00282606948,0.0935956687,0,0,-22.00379944,0.0180410799,1593002343.98895
2020/06/24/21:39:04.089261,10101,1593002344,88958740,,,0,1593002368,-306.875824,-728.6777954,21.65685844,3.241326094,0.0427836664,0.00283559039,-0.110972859,0,0,-22.30800056,0.0180539601,1593002344.08896
2020/06/24/21:39:04.189282,10102,1593002344,188976049,,,0,1593002368,-306.9451599,-728.7750244,21.65958023,3.279478073,-0.0318210162,0.00316241081,-0.0321128294,0,0,-22.40939903,0.018070275,1593002344.18898
2020/06/24/21:39:04.289260,10103,1593002344,288952827,,,0,1593002368,-306.994812,-728.8446655,21.66118622,3.317744493,0.0270839985,-0.00243861158,0.0655253381,0,0,-22.81499863,0.0180831552,1593002344.28895
2020/06/24/21:39:04.389248,10104,1593002344,388951301,,,0,1593002368,-307.0256042,-728.8875122,21.66213417,3.326544762,-0.0928988308,0.00109676877,0.0197835509,0,0,-22.81499863,0.0180915259,1593002344.38895
2020/06/24/21:39:04.489271,10105,1593002344,488967895,,,0,1593002368,-307.0925598,-728.9805908,21.66424179,3.380451441,0.101278201,0.00902101118,-0.133650422,0,0,-23.22060013,0.0181063395,1593002344.48897
2020/06/24/21:39:04.589268,10106,1593002344,588968753,,,0,1593002368,-307.150238,-729.0612793,21.66611481,3.397115707,-0.0711896941,0.00117200706,0.0627771392,0,0,-23.3220005,0.0181224383,1593002344.58897
2020/06/24/21:39:04.689270,10107,1593002344,688968420,,,0,1593002368,-307.1968689,-729.1262207,21.66789055,3.415913105,0.0927088633,0.0057476419,-0.0384404361,0,0,-23.22060013,0.0181342456,1593002344.68897
2020/06/24/21:39:04.789265,10108,1593002344,788966178,,,0,1593002368,-307.2506714,-729.2005615,21.67004013,3.459535599,-0.103532948,0.00347828632,0.0455557331,0,0,-23.11919785,0.0181477703,1593002344.78897
