Distance,PosLocalX,PosLocalY,InverseRadius,RefinedPosLon,RefinedPosLat,TimeStamp,GPS_Speed,PosLat,PosLon,AccelForward,AccelLateral,DeviceAccelForward,DeviceAccelLateral,DeviceAccelVertical,AngleTrack,AngleRateZ,GPS_Height,GPS_NumSat,GPS_PosAccuracy,RPM,Steer_angle,Gear,OilT,Internal Batte,External Batte,ECU_THROTTLE,ECU_ENG_TMP,ECU_WS_FL,ECU_WS_FR,ECU_WS_RL,ECU_WS_RR,ECU_PEDAL,ECU_MAF,ECU_BRK_PRES,ECU_STEER_SPD,ECU_TCS_ESP,ECU_V_BATTERY,GPS_Slope,GPS_Elevation,PositionIndex,LapNo,PositionHeight,AccelX,AccelY,AccelCombined,HP_est,Pedal_throttle,Origin_Steer_angle,GripUsage,Pedal_brake,Origin_Gear,Origin_RPM
3783.875,0.22388197517629696,0.6809320111171594,0.00016879255488486193,128.29132635222558,38.000448736946,164.1,155.61,38.000448736946,128.291326352223,0.154,-0.071,-3.767,3.314,-2.21,358.473,-0.0,319.0,7.0,2.31,5705,0.162,4,149.0,4.159,12.719,99.0,95.0,155.34,155.04,153.25,153.51,99.0,237.25,0.4,6.8,3.0,12.8,10.353,319.51,0.688,1,318.171,1.461,-0.447,1.527,153.114,100.0,-0.55,16.879,0.0,4.0,5705.5
3786.111,0.1473010657055996,2.9162436381700725,0.00013658890615455367,128.2913254792131,38.00046881718938,164.15,155.935,38.0004688466325,128.29132547370548,0.152,-0.063,-3.766,3.319,-2.237,358.467,0.0,319.0,7.0,2.31,5713,0.337,4,149.0,4.159,12.719,99.0,95.0,155.716,155.448,153.537,153.795,99.0,236.995,0.4,4.76,3.0,12.816,10.717,319.67,2.92,1,318.166,1.448,-0.395,1.501,152.735,100.0,-0.725,16.874,0.0,4.0,5713.95
3788.355,0.06975419577729638,5.158110419375361,9.742169314112383e-05,128.2913245951888,38.000488956318996,164.2,156.26,38.000488956318996,128.291324595188,0.151,-0.054,-3.764,3.324,-2.263,358.461,0.001,319.0,7.0,2.31,5722,0.512,4,149.0,4.159,12.718,99.0,95.0,156.092,155.856,153.824,154.08,99.0,236.74,0.4,2.72,3.0,12.832,11.08,319.83,5.158,1,318.17,1.436,-0.342,1.476,152.382,100.0,-0.9,16.877,0.0,4.0,5722.4
3790.604,-0.008586753992703245,7.406345171477109,5.020091161331969e-05,128.2913237021121,38.00050915265335,164.25,156.515,38.000509129465996,128.29132370085898,0.148,-0.043,-3.765,3.337,-2.272,358.457,0.001,319.0,7.0,2.31,5731,0.665,4,149.0,4.159,12.718,98.966,95.0,156.364,156.213,154.147,154.208,99.0,236.426,0.4,2.04,3.0,12.866,11.334,319.795,7.402,1,318.164,1.423,-0.287,1.451,152.052,100.0,-1.053,16.884,0.0,4.0,5731.41
3792.849,-0.0871475667348957,9.649417541181366,1.953291487666052e-06,128.291322806529,38.000529302613,164.3,156.77,38.000529302613,128.29132280653,0.145,-0.033,-3.765,3.351,-2.281,358.453,0.001,319.0,7.0,2.31,5740,0.818,4,149.0,4.159,12.718,98.932,95.0,156.636,156.57,154.47,154.335,99.0,236.111,0.4,1.36,3.0,12.9,11.587,319.76,9.641,1,318.146,1.4,-0.185,1.413,151.739,100.0,-1.206,16.894,0.0,4.0,5740.42
3795.08,-0.16543291648205272,11.879176269769394,-3.217366331711657e-05,128.2913219140861,38.000549332973605,164.35,157.023,38.00054934822101,128.29132191438947,0.142,-0.021,-3.77,3.362,-2.293,358.455,0.002,318.825,7.0,2.31,5748,1.202,4,149.0,4.159,12.718,98.831,95.0,156.821,156.84,154.757,154.54,99.0,235.682,0.4,1.98,3.0,12.883,10.629,319.795,11.867,1,318.136,1.376,-0.077,1.378,151.438,100.0,-1.591,16.903,0.0,4.0,5748.56
3797.314,-0.2436653771303529,14.11232964688177,-6.11444950242631e-05,128.29132102224617,38.000569393829004,164.4,157.275,38.000569393829004,128.29132102224898,0.139,-0.01,-3.774,3.374,-2.305,358.457,0.002,318.65,7.0,2.31,5756,1.587,4,149.0,4.159,12.718,98.73,95.0,157.005,157.11,155.045,154.745,99.0,235.253,0.4,2.6,3.0,12.865,9.671,319.83,14.096,1,318.154,1.351,0.034,1.351,151.147,100.0,-1.975,16.911,0.0,4.0,5756.7
3799.569,-0.32203551978013045,16.365530422789217,-0.00012997954709943545,128.29132012883665,38.00058963477412,164.45,157.53,38.0005896869595,128.291320131791,0.137,0.003,-3.779,3.381,-2.327,358.463,0.002,318.14,7.0,2.31,5767,1.749,4,149.0,4.159,12.717,98.563,95.0,157.158,157.324,155.235,155.028,99.0,235.004,0.4,1.3,3.0,12.833,7.821,318.995,16.345,1,318.151,1.326,0.147,1.334,150.864,100.0,-2.138,16.915,0.0,4.0,5767.92
3801.835,-0.3998880044842243,18.630349641903425,-0.00020196126834738214,128.29131924132838,38.00060998009,164.5,157.785,38.00060998009,128.291319241333,0.134,0.015,-3.783,3.388,-2.348,358.469,0.003,317.63,7.0,2.314,5779,1.912,4,149.0,4.159,12.717,98.397,95.0,157.311,157.537,155.426,155.311,99.0,234.755,0.4,0.0,3.0,12.8,5.972,318.16,18.606,1,318.167,1.301,0.258,1.327,150.592,100.0,-2.3,16.914,0.0,4.0,5779.14
3804.101,-0.4766174240366942,20.894862334439,-0.0002495771610858814,128.2913183666229,38.000630322652285,164.55,158.021,38.0006303175595,128.29131837052051,0.131,0.027,-3.786,3.4,-2.36,358.477,0.003,318.095,7.0,2.314,5788,1.912,4,149.0,4.159,12.717,98.116,95.0,157.562,157.666,155.441,155.464,99.0,234.832,0.4,0.0,3.0,12.8,3.474,318.69,20.867,1,318.15,1.279,0.366,1.33,150.324,100.0,-2.3,16.906,0.0,4.0,5788.41
3806.365,-0.5526640132429596,23.158241179651807,-0.00028773756366285027,128.29131749970162,38.000650655029,164.6,158.256,38.000650655029,128.29131749970801,0.129,0.039,-3.788,3.412,-2.372,358.485,0.004,318.56,6.61,2.32,5797,1.912,4,149.0,4.159,12.717,97.836,95.0,157.812,157.795,155.456,155.617,99.0,234.908,0.4,0.0,3.0,12.8,0.976,319.22,23.126,1,318.129,1.258,0.472,1.344,150.06,100.0,-2.3,16.893,0.0,4.0,5797.68
3808.626,-0.6280080933134861,25.417969460878346,-0.0003258667473642594,128.29131664078884,38.00067095461198,164.65,158.459,38.000670933712335,128.29131664481673,0.127,0.05,-3.789,3.43,-2.369,358.497,0.004,320.544,6.61,2.32,5803,1.912,4,149.0,4.159,12.717,97.564,95.0,158.211,158.054,155.664,155.769,99.0,235.099,0.4,0.0,3.0,12.8,-1.787,320.895,25.382,1,318.17,1.24,0.572,1.365,149.805,100.0,-2.3,16.873,0.0,4.0,5803.323
